iter	Passed	Remaining
169	48223	235444
170	48483	235043
171	48747	234667
172	49027	234369
173	49337	234211
174	49631	233976
175	49916	233698
176	50229	233552
177	50503	233225
178	50808	233038
179	51079	232696
180	51360	232400
181	51619	232002
182	51927	231830
183	52198	231488
184	52459	231104
185	52783	230998
186	53053	230656
187	53365	230494
188	53663	230270
189	54024	230316
190	54360	230249
191	54676	230095
192	54993	229948
193	55320	229834
194	55711	229990
195	55963	229566
196	56309	229526
197	56655	229483
198	56947	229222
199	57247	228988
200	57616	229033
201	57922	228823
202	58193	228473
203	58466	228135
204	58729	227756
205	59057	227628
206	59325	227269
207	59581	226869
208	59867	226581
209	60137	226230
210	60498	226225
211	60759	225841
212	61061	225613
213	61365	225389
214	61678	225199
215	61986	224989
216	62238	224574
217	62527	224296
218	62801	223963
219	63110	223756
220	63400	223480
221	63702	223245
222	64036	223121
223	64387	223058
224	64671	222756
225	64998	222605
226	65321	222437
227	65628	222215
228	65895	221856
229	66203	221636
230	66486	221334
231	66758	220994
232	67056	220740
233	67330	220405
234	67654	220236
235	67946	219961
236	68238	219686
237	68499	219313
238	68811	219102
239	69134	218925
240	69443	218705
241	69765	218520
242	70057	218245
243	70371	218035
244	70653	217726
245	70944	217446
246	71225	217138
247	71534	216911
248	71824	216628
249	72128	216385
250	72434	216148
251	72710	215824
252	72982	215486
253	73278	215220
254	73608	215051
255	73903	214783
256	74255	214675
257	74553	214414
258	74868	214200
259	75160	213919
260	75467	213678
261	75820	213570
262	76147	213386
263	76454	213147
264	76743	212855
265	77016	212519
266	77320	212268
267	77600	211954
268	77927	211764
269	78202	211437
270	78498	211162
271	78790	210880
272	79095	210631
273	79433	210469
274	79703	210126
275	79980	209804
276	80252	209468
277	80554	209208
278	80887	209031
279	81169	208720
280	81491	208513
281	81793	208254
282	82115	208045
283	82364	207650
284	82666	207391
285	83045	207322
286	83301	206948
287	83644	206786
288	83945	206522
289	84258	206288
290	84563	206033
291	84883	205813
292	85222	205638
293	85519	205364
294	85824	205105
295	86159	204918
296	86465	204663
297	86772	204409
298	87033	204048
299	87313	203731
300	87601	2034330301	87893	2031430302	88232	2029630303	88523	2026730304	88831	2024130305	89175	202247
306	89478	2019830307	89766	2016830308	90091	2014630309	90400	2012131310	90683	2009031311	90984	2006331312	91292	2003731313	91631	2001831314	91967	1999931315	92266	1997131316	92548	1994031317	92875	1991831318	93225	1990131319	93598	1988932320	93951	1987332321	94289	1985332322	94627	1983332323	94912	1980232324	95213	1977532325	95548	1975432326	95876	1973232327	96226	1971432328	96541	1968932329	96927	1967933330	97218	1964933331	97505	1961833332	97835	1959633333	98133	1956733334	98470	1954733335	98768	1951833336	99104	1949733337	99410	1947033338	99692	1943843339	100011	1941393340	100298	1938313341	100613	1935773342	100957	1933803343	101324	1932233344	101678	1930413345	102015	1928263346	102322	1925543347	102662	1923443348	102991	1921133349	103291	1918273350	103583	1915263351	103916	1913003352	104207	1909973353	104497	190692354	105401	191504
355	105764	191326
356	106157	191202
357	106451	190898
358	106775	190649
359	107110	190418
360	107454	190202
361	107808	190005
362	108186	189847
363	108490	189559
364	108868	189401
365	109197	189156
366	109515	188892
367	109853	188661
368	110255	188540
369	110529	188198
370	110813	187875
371	111137	187619
372	111444	187333
373	111742	187033
374	112101	186836
375	112416	186562
376	112690	186223
3377	112477	1850813378	112794	1848173379	113110	184548380	114097	185370
381	114392	185063
382	114739	184840
383	115055	184567
384	115410	184356
385	115703	184047
386	115985	183718
387	116322	183477
388	116629	183189
389	117008	183013
390	117307	182712
391	117599	182399
392	117918	182129
393	118199	181798
394	118512	181519
395	118773	181159
396	119061	180842
397	119386	180580
398	119684	180276
399	119987	179981
4400	119665	1787524401	119971	178465402	120866	179050
403	121168	178753
404	121457	178437
405	121734	178103
406	122038	177811
407	122298	177452
4408	121991	176275409	122892	176844
410	123171	176515
411	123480	176229
412	123800	175958
413	124092	175648
414	124386	175340
415	124684	175037
416	124973	174723
417	125266	174413
418	125520	174051
419	125819	173751
420	126096	173420
421	126420	173153
422	126716	172849
423	127004	172534
424	127301	172231
425	127604	171936
426	127919	171657
427	128211	171347
428	128482	171010
429	128751	170670
430	129048	170367
431	129332	170048
432	129647	169768
433	129972	169503
434	130250	169176
435	130521	168839
436	130818	168536
437	131092	168205
438	131371	167880
439	131653	167559
440	131927	167228
441	132190	166883
442	132445	166528
443	132704	166179
444	132990	165864
445	133273	165545
446	133518	165180
447	133799	164860
448	134084	164544
449	134385	164249
450	134692	163960
451	134978	163646
452	135254	163320
453	135525	162988
454	135770	162626
455	136096	162360
456	136337	161994
457	136615	161671
458	136913	161373
459	137197	161057
460	137468	160728
461	137758	160419
46462	138181	1602646463	138507	1599946464	138810	1597046465	139074	1593646466	139373	1590746467	139658	1587546468	139906	1584046469	140174	15806470	140260	157532
471	140558	157235
472	140847	156927
473	141106	156586
474	141360	156240
475	141636	155919
476	141898	155582
477	142173	155260
478	142421	154909
479	142689	154580
480	143006	154303
481	143318	154022
482	143562	153668
483	143852	153363
484	144115	153030
485	144394	152713
486	144622	152343
48487	145101	1522348488	145400	1519448489	145647	1515949490	145912	1512649491	146254	1510149492	146523	1506849493	146789	1503549494	147075	1500449495	147356	1497349496	147612	1493949497	147859	1490449498	148163	1487549499	148413	1484150500	148709	1481150501	148976	1477850502	149251	1474750503	149521	1471450504	149811	1468450505	150084	1465250506	150366	1462150507	150612	1458650508	150864	1455250509	151121	1451951510	151406	1448851511	151663	1445551512	151881	1441851513	152157	1438651514	152414	1435351515	152674	1432051516	152940	1428851517	153194	1425451518	153437	1422051519	153714	141890
520	153988	141574
521	154198	1412052522	154451	1408652523	154741	140566
524	155031	140266
525	155325	139970
526	155552	1396152527	155840	139311
528	156096	138982
529	156350	1386553530	156602	1383153531	156862	1379953532	157091	1376353533	157312	1372753534	157569	1369553535	157831	1366353536	158065	1362853537	158327	1359653538	158558	1356153539	158846	1353154540	159132	1350154541	159374	1346754542	159621	1343454543	159854	1339954544	160124	1336854545	160391	1333654546	160646	1330454547	160908	1327254548	161236	1324554549	161491	1321255550	161739	1317955551	161963	1314455552	162192	1311055553	162464	1307955554	162726	1304755555	162977	1301455556	163255	1298455557	163514	1295255558	163768	1291955559	164030	1288856560	164278	1285556561	164542	1282356562	164817	1279356563	165089	1276256564	165343	1272956565	165567	1269556566	165862	1266656567	166104	1263356568	166374	1260256569	166639	1257157570	166917	1254057571	167179	1250957572	167448	1247855573	167719	1244755574	168014	1241855575	168252	1238525576	168513	1235357577	168808	123247
578	169085	122944
579	169386	122659
580	169660	122353
581	169897	122022
582	170150	121702
583	170434	121405
584	170733	121118
585	171018	120821
586	171325	120541
587	171616	120248
588	171896	119948
589	172165	119640
590	172418	119321
591	172687	119014
592	172966	118714
593	173257	118421
594	173541	118125
595	173816	117822
596	174068	117503
597	174368	117217
598	174636	116910
599	174880	116587
600	175138	116273
601	175408	115968
602	175685	115666
603	175961	115365
604	176202	115041
605	176456	114725
606	176716	114414
607	177006	114122
608	177270	113814
609	177526	113500
610	177777	113184
611	178050	112881
612	178327	112582
613	178545	112245
614	178806	111935
615	179055	111619
616	179297	111298
617	179572	110997
618	179839	110693
619	180110	110390
620	180349	110068
621	180593	109749
622	180854	109441
623	181116	109134
624	181374	108824
625	181621	108508
626	181880	108199
627	182122	107881
628	182368	107565
629	182609	107246
630	182857	106932
631	183118	106625
632	183364	106310
633	183615	105999
634	183864	105685
635	184104	105368
636	184335	105045
637	184595	104739
638	184834	104421
639	185068	104100
640	185320	103791
641	185563	103476
642	185837	103178
643	186109	102880
644	186352	102566
645	186595	102252
646	186867	101953
647	187140	101656
648	187417	101361
649	187693	101065
650	187975	100773
651	188190	100445
652	188459	100146
653	188702	99833
654	188951	99524
655	189193	99211
656	189430	98895
657	189687	98591
658	189918	98273
659	190190	97976
660	190413	97655
661	190669	97351
662	190913	97040
663	191171	96737
664	191395	96417
665	191645	96110
666	191919	95815
667	192154	95501
668	192399	95193
669	192660	94892
670	192918	94590
671	193183	94291
672	193438	93988
673	193674	93676
674	193955	93385
675	194207	93081
676	194481	92787
677	194789	92510
678	195067	92218
679	195336	91922
680	195625	91636
681	195868	91328
682	196123	91026
683	196401	90735
684	196702	90454
685	196966	90156
686	197218	89853
687	197466	89548
688	197734	89253
689	198013	88962
690	198293	88672
691	198560	88376
692	198869	88099
693	199133	87802
694	199394	87504
695	199620	87190
696	199918	86908
697	200187	86614
698	200426	86306
699	200689	86009
700	200957	85715
701	201194	85407
702	201475	85118
703	201706	84808
704	202011	84529
705	202306	84246
706	202555	83944
707	202795	83638
708	203020	83327
709	203267	83024
710	203556	82739
711	203830	82448
712	204068	82142
713	204303	81836
714	204576	81544
715	204813	81238
716	205105	80955
717	205373	80661
718	205647	80371
719	205935	80085
720	206203	79792
721	206444	79489
722	206725	79201
723	207002	78912
724	207332	78643
725	207611	78354
726	207879	78062
727	208146	77769
728	208431	77482
729	208724	77199
730	209022	76918
731	209279	76621
732	209539	76326
733	209845	76047
734	210195	75784
735	210445	75485
736	210714	75193
737	211021	74915
738	211314	74632
739	211571	74336
740	211848	74046
741	212105	73751
742	212405	73469
743	212692	73184
744	212974	72897
745	213227	72600
746	213529	72320
747	213824	72037
748	214081	71741
749	214308	71436
750	214628	71161
751	214915	70876
752	215184	70585
753	215460	70296
754	215750	70011
755	216050	69730
756	216348	69448
757	216691	69181
758	217019	68908
759	217318	68626
760	217599	68339
761	217899	68057
762	218166	67766
763	218411	67467
764	218730	67191
765	219001	66901
766	219311	66622
767	219583	66332
768	219860	66044
769	220128	65752
770	220389	65459
771	220634	65161
772	220896	64868
773	221173	64580
774	221449	64291
775	221691	63993
776	221911	63688
777	222171	63395
778	222405	63095
779	222685	62808
780	222973	62523
781	223259	62238
782	223517	61945
783	223757	61647
784	224063	61367
785	224336	61078
786	224625	60794
787	224886	60502
788	225137	60207
789	225437	59926
790	225705	59636
791	225992	59351
792	226258	59061
793	226525	58771
794	226794	58481
795	227082	58197
796	227352	57907
797	227641	57623
798	227952	57344
799	228214	57053
800	228485	56801	801	228775	56480
802	229033	56803	803	229288	55804	804	229549	55805	805	229859	55806	806	230107	55807	807	230430	54808	808	230727	54809	809	231058	54810	810	231395	53925
811	231694	53643
812	231995	53361
813	232260	53071
814	232569	52791
815	232860	52507
816	233126	52817	817	233370	51818	818	233652	51819	819	233917	51820	820	234218	51821	821	234474	50822	822	234754	50823	823	235052	50824	824	235348	49825	825	235637	49826	826	235996	49827	827	236325	49828	828	236620	48829	829	236927	48830	830	237206	48831	831	237461	47832	832	237762	47833	833	238105	47392
834	238414	47835	835	238732	46836	836	239005	46544
837	239268	46838	838	239569	45839	839	239835	45840	840	240114	45841	841	240370	45842	842	240686	44843	843	240986	44844	844	241305	44845	845	241577	43846	846	241843	43847	847	242113	43848	848	242430	43849	849	242740	42850	850	243048	42851	851	243340	42852	852	243613	41853	853	243925	41854	854	244162	41855	855	244473	41856	856	244783	40857	857	245090	40858	858	245435	40859	859	245721	40860	860	245986	39861	861	246289	39862	862	246591	39863	245486	38641
864	245845	38368
865	246118	38083
866	246383	37795
867	867	248174	37868	868	248461	37869	869	248725	37870	247608	36672
871	247870	36384
872	248150	36099
873	248447	35817
874	248712	35530
875	248997	35246
876	249266	34959
877	249573	34678
878	249835	34391
879	250130	34108
880	250420	33825
881	881	252198	33882	882	252499	33883	251327	32979
884	884	253087	32885	251934	32415
886	252220	32131
887	887	253994	32888	888	254308	31889	889	254625	31890	890	254957	31891	891	255243	30892	892	255556	30893	893	255851	30894	894	256204	30895	895	256508	29896	896	256788	29897	897	257077	29898	898	257393	28899	899	257689	28900	900	257980	28901	901	258302	28902	902	258623	27903	903	258884	27904	904	259156	27905	905	259499	26923
906	259839	26642
907	260184	26362
908	260578	26086
909	260949	25808
910	261260	25523
911	261578	25240
912	261972	24963
913	262364	24686
914	262759	24409
915	263082	24125
916	263364	23837
917	263733	23557
918	263989	23267
919	264235	22977
920	264459	22684
921	264729	22395
922	264944	22102
923	265181	21811
924	265426	21521
925	265694	21232
926	265942	20942
927	266179	20651
928	266416	20361
929	266649	20070
930	266871	19778
931	267110	19488
932	267345	19198
933	267567	18907
934	267792	18616
935	267998	18324
936	268209	18033
937	268422	17742
938	268636	17451
939	268828	17159
940	269053	16869
941	269282	16580
942	269509	16290
943	269732	16001
944	269927	15710
945	270135	15420
946	270349	15130
947	270549	14840
948	270776	14551
949	270999	14263
950	271221	13974
951	271437	13685
952	271664	13397
953	271881	13109
954	272067	12819
955	272284	12531
956	272487	12243
957	272670	11954
958	272850	11665
959	273042	11376
960	273247	11089
961	273443	10801
962	273617	10512
963	273806	10225
964	273992	9937
965	274187	9650
966	274374	9363
967	274564	9076
968	274755	8789
969	274935	8503
970	275113	8216
971	275293	7930
972	275454	7643
973	275627	7357
974	275797	7071
975	275991	6786
976	276183	6501
977	276375	6217
978	276559	5932
979	276759	5648
980	276944	5363
981	277130	5079
982	277337	4796
983	277526	4512
984	277707	4229
985	277902	3945
986	278090	3662
987	278270	3379
988	278454	3097
989	278657	2814
990	278843	2532
991	279024	2250
992	279198	1968
993	279393	1686
994	279548	1404
995	279691	1123
996	279839	842
997	279977	561
998	280075	280
999	280185	0
